"","Species","mean_slope","ci_lower","ci_upper","slope_var","n_gardens","temp_min","temp_max","temp_mean","n_data"
"133","Silphium integrifolium",-1.87392870692183,-10.6948117497351,3.9090863688898,13.6970386530386,3,8.641666667,12.175,10.6315476187857,14
"134","Solanum dulcamara",21.607161735102,11.8365430141657,34.324934297437,34.6478782914862,3,9.583333333,12.79166667,11.3177777775333,15
"135","Solidago canadensis",5.40773798063917,-13.5908551605391,22.9379965049244,75.637581347755,2,8.641666667,11.91666667,10.429166666,10
"136","Solidago virgaurea",8.13085244692354,-7.74186133515465,23.7714245070888,64.0035725484496,5,8.641666667,12.79166667,11.05699999972,25
"137","Stachys officinalis",4.16331289463662,-4.78070505223283,15.5366072119178,42.368045350834,6,8.641666667,16.24166667,11.38125,16
"138","Tanacetum vulgare",-2.532150270819,-10.3292539796319,0.714579000087664,6.65041349562367,7,4.833333333,16.24166667,11.06133333264,25
"139","Thalictrum minus",-1.58754449985038,-14.5189636171183,6.80467113306425,26.2426085600982,6,8.641666667,16.24166667,11.4661764711765,17
"140","Thymus serpyllum",-33.4963348049949,-70.26151775175,24.2435708346925,591.184760237085,4,8.641666667,11.75,10.8863636360909,11
"141","Trapa natans",-20.3010336801134,-42.8926812169356,-8.4167231861208,68.1620112976074,3,8.641666667,11.76666667,10.4393939393636,11
"142","Trifolium pratense",7.51387134874383,-11.9225496487543,39.7972145552442,155.491172825544,8,4.833333333,15.78333333,11.1833333335,18
"143","Trillium sessile",9.23081265946987,1.09389495745759,15.9356951668764,14.3452384253623,3,9.85,11.76666667,10.7074999993,10
"144","Trollius europaeus",9.50048394714605,-8.91582246226411,29.5922848715889,93.99015103086,7,9.583333333,12.79166667,11.3333333334583,24
"145","Tulipa sylvestris",0.156598076439457,-15.586640368056,10.5905411866937,37.818387663998,8,4.833333333,12.79166667,10.9769047616,35
"146","Tussilago farfara",13.0947926566879,-11.4029808205205,47.7077550678644,254.121520265246,8,4.691666667,12.175,10.910507246087,23
"147","Urtica dioica",-3.55718967521578,-33.8158247779541,17.9117409682034,167.469111878462,7,8.641666667,12.175,11.0833333330435,23
"148","Vaccinium myrtillus",3.99348109711978,-1.06702033682951,8.74783583700211,13.5278646407266,4,3.583333333,12.175,9.41712962938889,18
"149","Vaccinium uliginosum",-6.45652089138461,-53.2427600089819,30.3336313688046,374.239149481285,2,9.583333333,11.75,10.9225000003,10
"150","Veratrum album",-0.0591947141759832,-15.9087731080498,5.51456528959006,26.5636429979467,5,4.833333333,12.175,9.93774509758824,17
"151","Veratrum nigrum",-6.03871021974155,-24.4251259389272,9.48111346722968,92.1173212882004,10,4.858333333,12.79166667,10.9509009007027,37
"152","Vincetoxicum hirundinaria",10.3927716365055,-1.40942507681015,20.3361147852977,29.3289928040595,7,8.641666667,12.79166667,11.0311111111,30
"153","Viola odorata",-8.8000677514474,-69.7102215172355,17.8975895858511,535.066475644382,4,4.858333333,11.91666667,10.571794872,13
"154","Viscaria vulgaris",40.9121037680111,18.9340548445579,66.5649546358769,150.012041208747,4,9.583333333,12.79166667,11.3578431372353,17
